instance,objective_value,status,solve_time,build_time,load_time,total_time,gap,error,file_path,time_periods,n_thermal_gens,n_renewable_gens,n_must_run,total_startup_categories,total_pwl_points,approx_binary_vars,approx_continuous_vars,approx_total_vars,approx_constraints,peak_demand,avg_demand,total_reserves
2020-07-06.json,3751053.7184760184,optimal,14.612820863723755,1.109818935394287,0.0021944046020507812,15.724834203720093,0.0,,./rts_gmlc/2020-07-06.json,48,73,81,1,117,292,16128,28416,44544,41263,6459.71,5072.87,7304.93
Scenario400_reserves_1.json,33591.46762257846,optimal,201.80515789985657,9.074351072311401,0.0064618587493896484,210.88597083091736,0.0,,./ca/Scenario400_reserves_1.json,48,610,1,200,1220,1488,146400,159312,305712,355726,44214.67,34800.45,16704.21
2015-03-01_reserves_5.json,31955.364026809053,optimal,201.94395208358765,9.574811935424805,0.006204843521118164,211.52496886253357,0.0,,./ca/2015-03-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,26622.95,21657.83,51978.8
2014-12-01_reserves_3.json,39348.08351139549,optimal,201.92246198654175,9.80206036567688,0.004025936126708984,211.72854828834534,0.0,,./ca/2014-12-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30479.15,25301.88,36434.71
2020-04-03.json,2053077.427155379,optimal,66.37061619758606,0.8280372619628906,0.001886129379272461,67.20053958892822,0.0,,./rts_gmlc/2020-04-03.json,48,73,81,1,117,292,16128,28416,44544,41263,4328.12,3543.72,5102.96
2014-09-01_reserves_3.json,48425.52516850862,optimal,213.49572896957397,9.254133462905884,0.004038095474243164,222.7539005279541,0.0,,./ca/2014-09-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,41727.68
2014-09-01_reserves_1.json,48283.76704564419,optimal,220.97577095031738,11.23799991607666,0.004042625427246094,232.2178134918213,0.0,,./ca/2014-09-01_reserves_1.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,13909.23
2020-05-05.json,2448917.808060349,optimal,54.34957027435303,4.890005111694336,0.0018241405487060547,59.24139952659607,0.0,,./rts_gmlc/2020-05-05.json,48,73,81,1,117,292,16128,28416,44544,41263,5284.09,4205.39,6055.76
2014-09-01_reserves_5.json,48554.26619650686,optimal,224.33925461769104,9.703885793685913,0.0063474178314208984,234.04948782920837,0.0,,./ca/2014-09-01_reserves_5.json,48,610,0,200,1220,1488,146400,159264,305664,355726,36856.37,28977.56,69546.13
2015-06-01_reserves_3.json,41807.10684008509,optimal,225.88698816299438,8.993138790130615,0.0040283203125,234.8841552734375,0.0,,./ca/2015-06-01_reserves_3.json,48,610,0,200,1220,1488,146400,159264,305664,355726,30020.08,26541.78,38220.17
